system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
2_698_0,0.029547906,0.36477965,0.01807973,0.22326986,0.023329288,0.41427624,-138.5,8382.0,780.0,20239.0,18.0,12851.0,-268.0,9420.0,0.016054818,0.35128656,0.015314971,0.22050512,0.009087546,0.4000345,177.5,8698.0,838.0,20297.0,130.0,12963.0,56.0,9744.0,0.0102070365,0.34543878,0.0070986366,0.21228878,3.4766624E-4,0.3912946,-367.5,8153.0,-824.0,18635.0,-724.5,12108.5,-622.0,9066.0,0.0,0.33523175,0.0,0.20519014,0.0,0.39094695,0.0,8520.5,0.0,19459.0,0.0,12833.0,0.0,9688.0,0,-0.2305526176692752,110.60125151725859,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_699_0,-0.0075624906,0.3110296,0.017580077,0.22897926,0.010249326,0.35843986,269.0,8356.0,966.0,17693.0,211.0,11100.0,654.0,9298.0,-0.006417842,0.31217426,-4.2228776E-4,0.2109769,0.004740023,0.35293058,-19.5,8067.5,141.0,16868.0,101.5,10990.5,198.0,8842.0,0.0023642413,0.32095635,0.0044077877,0.21580698,0.0064548957,0.35464543,99.0,8186.0,456.0,17183.0,194.0,11083.0,189.0,8833.0,0.0,0.3185921,0.0,0.21139918,0.0,0.34819055,0.0,8087.0,0.0,16727.0,0.0,10889.0,0.0,8644.0,0,3.851212370313007,115.45107607316307,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_700_0,-0.0042301286,0.3339167,-0.015585001,0.22463806,0.0015623685,0.37341848,106.0,7998.0,295.0,17531.0,540.5,11099.5,229.0,8754.0,-0.0035339363,0.33461288,-0.021704154,0.21851891,0.0017216529,0.37357774,36.0,7928.0,148.0,17384.0,590.0,11149.0,142.0,8667.0,0.014737961,0.35288477,-0.021526538,0.21869652,0.026072565,0.39792866,159.5,8051.5,1458.5,18694.5,1426.0,11985.0,417.0,8942.0,0.0,0.3381468,0.0,0.24022307,0.0,0.3718561,0.0,7892.0,0.0,17236.0,0.0,10559.0,0.0,8525.0,0,2.8891167010209995,116.9306013461079,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_701_0,-0.0050736996,0.35646746,8.894454E-4,0.24082565,-0.01864973,0.38932246,-54.0,8118.5,-966.0,18470.0,-613.5,11300.5,-351.5,8762.5,0.020484755,0.3820259,0.002771556,0.24270776,0.021946196,0.42991838,-70.5,8102.0,886.0,20322.0,470.0,12384.0,-27.0,9087.0,0.007601278,0.36914244,0.008060849,0.24799706,0.013069412,0.4210416,109.5,8282.0,892.0,20328.0,335.0,12249.0,252.5,9366.5,0.0,0.36154115,0.0,0.2399362,0.0,0.4079722,0.0,8172.5,0.0,19436.0,0.0,11914.0,0.0,9114.0,0,2.6053389027676426,115.81624123615765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_702_0,0.0029687106,0.36786777,-0.003875673,0.23342688,-0.0015254782,0.40150228,-219.5,8446.0,-588.0,19778.0,-262.0,12292.0,-336.5,9140.0,0.014150034,0.3790491,0.008358543,0.2456611,0.011930174,0.4149579,215.0,8880.5,1112.0,21478.0,452.5,13006.5,194.5,9671.0,-0.012557175,0.3523419,5.552449E-4,0.2378578,-0.005589336,0.3974384,-209.0,8456.5,-754.0,19612.0,-479.0,12075.0,-84.0,9392.5,0.0,0.36489904,0.0,0.23730256,0.0,0.40302774,0.0,8665.5,0.0,20366.0,0.0,12554.0,0.0,9476.5,0,1.9213616454390388,112.39285151990656,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_703_0,-0.006552958,0.3317569,-0.023812674,0.20494092,-0.021184746,0.3803351,-139.5,8090.5,-1251.0,18022.0,-205.5,11891.5,-486.0,9043.0,0.014482449,0.3527923,-0.009474217,0.21927936,0.0056579676,0.4071778,-293.0,7937.0,-433.0,18840.0,-33.5,12063.5,-515.5,9013.5,0.02381886,0.3621287,4.871451E-4,0.22924073,0.003301235,0.40482107,-26.5,8203.5,90.0,19363.0,44.0,12141.0,-461.5,9067.5,0.0,0.33830985,0.0,0.22875358,0.0,0.40151983,0.0,8230.0,0.0,19273.0,0.0,12097.0,0.0,9529.0,0,-1.338983846744353,113.23394412042767,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_704_0,0.022904478,0.34952906,0.012379284,0.18556526,0.016571246,0.41784957,15.0,8633.0,856.0,21026.0,229.0,14444.0,-103.5,10134.5,0.041011028,0.3676356,0.037740428,0.21092641,0.037861448,0.43913975,275.0,8893.0,2649.0,22819.0,654.5,14869.5,313.0,10551.0,0.008742315,0.33536687,-0.005230645,0.16795534,-0.016798075,0.38448024,1892.0,10510.0,3470.0,23640.0,2626.0,16841.0,1528.0,11766.0,0.0,0.32662457,0.0,0.17318599,0.0,0.40127832,0.0,8618.0,0.0,20170.0,0.0,14215.0,0.0,10238.0,0,-0.09068492793186571,109.57259068541332,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_705_0,-0.029021643,0.36672843,-0.0055432445,0.2547497,-0.041218676,0.3984048,254.0,8410.0,-1404.0,19549.0,-687.0,11611.0,-13.0,9058.0,-0.011723055,0.384027,-0.00881308,0.25147983,-0.020389454,0.41923404,63.0,8219.0,-868.0,20085.0,-285.0,12013.0,-132.0,8939.0,0.010462794,0.40621287,0.012950639,0.27324358,-0.0043178704,0.43530563,223.5,8379.5,345.5,21298.5,-141.0,12157.0,-77.5,8993.5,0.0,0.39575008,0.0,0.26029292,0.0,0.43962348,0.0,8156.0,0.0,20953.0,0.0,12298.0,0.0,9071.0,0,-1.0317600195754766,109.53836487308837,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_706_0,0.011278589,0.37694705,-0.02093859,0.23372799,0.016462063,0.4226042,-268.5,8162.5,148.0,20111.0,632.0,12491.0,-172.5,9100.0,0.017604673,0.38327312,0.004461694,0.25912827,0.029686356,0.4358285,-457.0,7974.0,331.0,20294.0,82.0,11941.0,-224.5,9048.0,0.024729261,0.39039773,-0.0014266211,0.25323996,0.031720888,0.43786302,-350.0,8081.0,707.0,20670.0,457.5,12316.5,-210.0,9062.5,0.0,0.36566845,0.0,0.2546666,0.0,0.40614215,0.0,8431.0,0.0,19963.0,0.0,11859.0,0.0,9272.5,0,3.9999733813631995,116.66407120130965,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_707_0,-0.03456202,0.2756198,-0.031494875,0.16311081,-0.014770909,0.32086816,-76.0,8472.0,-707.5,16477.5,270.0,11856.0,309.0,9357.0,0.025491757,0.3356736,0.026621362,0.22122703,0.04071032,0.3763494,-315.5,8232.5,983.5,18168.5,0.0,11586.0,-11.5,9036.5,-0.0042000916,0.30598173,-0.0074844672,0.18712121,0.006597349,0.3422364,-101.0,8447.0,52.0,17237.0,217.0,11803.0,112.0,9160.0,0.0,0.31018183,0.0,0.19460568,0.0,0.33563906,0.0,8548.0,0.0,17185.0,0.0,11586.0,0.0,9048.0,0,-2.3218305990995214,113.30832462595276,"{""type"":""MultiPoint"",""coordinates"":[]}"
