system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_1463_0,0.03612603,0.33241063,0.022890395,0.19869177,0.049220275,0.37961212,-154.0,8117.0,1617.5,18050.5,547.5,12066.5,123.0,9044.0,0.015660303,0.3119449,0.017678125,0.1934795,0.019418964,0.3498108,-195.0,8076.0,333.0,16766.0,-189.0,11330.0,-128.0,8793.0,0.025228033,0.32151264,0.015409824,0.1912112,0.025298743,0.35569057,0.0,8271.0,970.0,17403.0,297.0,11816.0,14.0,8935.0,0.025486272,0.32177088,0.01368384,0.1894852,0.029126195,0.35951802,-85.0,8186.0,943.0,17376.0,321.0,11840.0,-5.0,8916.0,1,-11.44314433099232,-63.42891931757427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1464_0,0.066472426,0.37274536,0.06173888,0.23987983,0.065578006,0.42336,-270.5,8109.0,2300.0,20016.0,-87.5,12271.0,-262.5,9146.0,0.02504751,0.33132043,0.014574428,0.19271538,0.032655086,0.39043707,-67.5,8312.0,1244.0,18960.0,474.5,12833.0,114.5,9523.0,-0.016516613,0.28975633,-0.0072042276,0.17093672,-0.010808487,0.3469735,62.5,8442.0,-303.0,17413.0,-29.5,12329.0,180.5,9589.0,0.024948824,0.33122176,0.016671712,0.19481266,0.0323622,0.3901442,-174.5,8205.0,987.0,18703.0,245.5,12604.0,-12.5,9396.0,1,-7.324458584832725,-55.627051074996224,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1465_0,0.07369711,0.33750334,0.034495614,0.20992139,0.3246053,0.39794213,-5094.0,8104.0,3530.0,18817.0,1563.5,12287.5,415.5,9320.5,0.09523216,0.35903838,0.050349537,0.22577532,0.3362821,0.40961894,-5219.0,7979.0,3764.0,19051.0,1309.0,12033.0,80.0,8985.0,0.09377919,0.3575854,0.04121297,0.21663874,0.34512904,0.41846588,-5158.0,8040.0,4324.0,19611.0,1903.0,12627.0,375.0,9280.0,0.07734247,0.34114867,0.042632923,0.2180587,0.2578869,0.33122373,-3212.0,9986.0,4590.5,19877.5,2036.5,12760.5,860.0,9765.0,1,3.4105887234523817,-54.10063374422033,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1466_0,-0.02427916,0.32018653,-0.017289344,0.19236766,-0.010684685,0.37434226,166.0,8442.0,-95.0,18544.0,382.5,12560.5,461.0,9549.0,-0.011415148,0.33305055,-0.0065075583,0.20314945,-0.009063183,0.37596375,-81.0,8195.0,-569.5,18069.5,-210.5,11967.5,-47.5,9040.5,-0.019705407,0.3247603,-0.018705089,0.19095191,-0.016209733,0.3688172,-58.0,8218.0,-817.0,17822.0,-71.0,12107.0,-4.0,9084.0,0.008956616,0.35342228,0.0109583475,0.22061536,0.008487136,0.39351407,-66.0,8210.0,225.0,18864.0,-133.0,12045.0,-76.0,9012.0,1,-6.277202626606186,-59.92414223658196,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1467_0,0.06590269,0.35863525,0.038011983,0.2132234,0.06134233,0.40621814,-510.0,8155.0,1525.0,19313.0,40.5,12524.5,-615.0,9117.0,0.06451019,0.35724273,0.046711545,0.22192296,0.05562833,0.40050414,-460.0,8205.0,1380.0,19168.0,-278.5,12205.5,-654.5,9077.5,0.06686092,0.35959348,0.052420817,0.22763224,0.053757023,0.39863285,-439.5,8225.5,1342.5,19130.5,-448.0,12036.0,-721.0,9011.0,0.070595294,0.36332786,0.05617581,0.23138723,0.0574243,0.40230012,-531.5,8133.5,1294.5,19082.5,-573.0,11911.0,-820.5,8911.5,1,-6.441863818185295,-60.00094819337417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1468_0,-2.687701E-4,0.29083034,-0.009921205,0.14355296,-0.004999295,0.355451,-372.0,8150.0,-989.0,17139.0,-468.0,12836.0,-537.5,9416.0,0.03381643,0.32491556,0.034392253,0.18786642,0.020206295,0.38065657,-296.5,8225.5,208.5,18336.5,-767.5,12536.5,-610.5,9343.0,0.038547777,0.3296469,0.036255162,0.18972933,0.028008789,0.38845906,-420.0,8102.0,267.0,18395.0,-776.0,12528.0,-679.5,9274.0,0.03969041,0.33078954,0.036816724,0.19029088,0.026990697,0.38744098,-284.0,8238.0,531.0,18659.0,-611.0,12693.0,-570.5,9383.0,1,-14.410549209024335,-67.416361200724,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1469_0,0.086705685,0.34057945,0.039053965,0.20359008,0.100088805,0.39052072,-83.0,8082.0,3590.0,18439.0,1548.0,12201.0,234.0,9070.0,0.11545492,0.36932868,0.07061095,0.23514706,0.12851575,0.41894767,29.0,8194.0,5161.0,20010.0,1738.0,12391.0,380.0,9216.0,0.0948719,0.34874567,0.039361026,0.20389715,0.103097394,0.3935293,36.0,8201.0,3995.0,18844.0,1808.0,12461.0,263.0,9099.0,0.10327402,0.35714778,0.042769372,0.20730549,0.11563519,0.4060671,156.0,8321.0,4850.0,19699.0,2281.0,12934.0,495.0,9331.0,1,-0.420546300260554,-51.841460636188145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1470_0,0.22432183,0.30895337,0.21706095,0.17392902,0.14374538,0.3713137,-1924.5,8053.0,1709.0,17565.5,-4925.5,12360.5,-4108.5,9273.5,0.21822257,0.30285415,0.20844558,0.16531365,0.1320935,0.35966182,-1797.5,8180.0,1512.5,17369.0,-4845.0,12441.0,-4088.0,9294.0,0.18590967,0.27054122,0.17770945,0.13457753,0.119134836,0.34670314,-1801.0,8176.5,998.5,16855.0,-4429.5,12856.5,-3705.0,9677.0,0.21690668,0.30153823,0.20873109,0.16559915,0.14277261,0.37034094,-1657.5,8320.0,2250.5,18107.0,-4324.0,12962.0,-3665.0,9717.0,1,-11.472788735368264,-54.427530676111424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1471_0,0.03269054,0.32450178,0.046263743,0.20319057,0.0155570395,0.3685996,-630.0,8003.0,-708.0,17347.0,-1669.0,11488.0,-1051.0,8847.0,0.04311239,0.33492365,0.050206933,0.20713376,0.023989461,0.37703204,-595.0,8038.0,-287.5,17767.5,-1487.0,11670.0,-1046.0,8852.0,0.03343873,0.32525,0.04359558,0.20052241,0.015043068,0.36808562,-353.5,8279.5,-130.0,17925.0,-1220.0,11937.0,-771.5,9126.5,0.045182265,0.33699352,0.056466747,0.21339357,0.03153783,0.3845804,-515.0,8118.0,209.0,18264.0,-1317.0,11840.0,-841.0,9057.0,1,-9.185857685056785,-59.68671750698917,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1472_0,0.11197945,0.3872852,0.102229625,0.24927154,0.076149985,0.42957425,-928.0,8126.0,1413.0,20365.0,-1855.0,12238.0,-1775.0,8994.5,0.118997894,0.39430365,0.1168392,0.26388112,0.07249344,0.4259177,-648.0,8406.0,1927.0,20879.0,-1932.5,12160.5,-1699.5,9070.0,0.10359063,0.3788964,0.09484131,0.24188322,0.055746995,0.40917125,-698.5,8355.5,976.5,19928.5,-1927.5,12165.5,-1793.0,8976.5,0.089548215,0.36485398,0.083384484,0.2304264,0.060021386,0.41344565,-977.0,8077.0,511.5,19463.5,-1919.5,12173.5,-1712.0,9057.5,1,-3.6957139946319177,-60.149170215253896,"{""type"":""MultiPoint"",""coordinates"":[]}"
