system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_lag1,3_NDMI_lag1,3_NDVI_lag1,3_SR_B4_lag1,3_SR_B5_lag1,3_SR_B6_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
2_788_0,0.008785116,0.3474441,0.016163427,0.21741126,0.005097705,0.3799078,109.0,8339.0,459.0,18557.0,-105.0,11929.0,46.0,8987.0,-0.006281291,0.33237767,-0.0050545284,0.19619331,-0.0023601172,0.37244996,-155.0,8075.0,-438.0,17660.0,-167.0,11867.0,-92.0,8849.0,-0.0117483465,0.32691061,-0.00226632,0.19898152,-0.007817816,0.36699226,-162.0,8068.0,-675.0,17423.0,-394.0,11640.0,-103.0,8838.0,0.338659,0.20124784,0.3748101,8230.0,18098.0,12034.0,8941.0,0,-5.992616344597122,-70.14122095204375,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_789_0,0.021503668,0.34572998,0.0056452737,0.19965439,0.028578246,0.39838853,-41.5,8064.0,1125.5,18744.0,612.0,12505.0,122.0,9113.0,-0.005014799,0.3192115,-0.0049813488,0.18902777,8.0933946E-4,0.37061962,30.5,8136.0,99.5,17718.0,191.5,12084.5,152.5,9143.5,0.004370427,0.32859674,0.0029384142,0.19694753,0.0073800036,0.3771903,34.0,8139.5,380.0,17998.5,182.5,12075.5,104.5,9095.5,0.32422632,0.19400911,0.36981028,8105.5,17618.5,11893.0,8991.0,0,0.8522766258083961,-58.35945667470257,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_790_0,-0.018205663,0.3403049,-0.010182604,0.19775967,-0.017703272,0.3943079,269.0,8268.0,-176.0,19033.0,152.5,12748.0,297.5,9368.0,-0.0019773552,0.35653323,-0.002970451,0.20497182,-5.443618E-4,0.4114668,136.0,8135.0,301.0,19510.0,277.0,12872.5,184.0,9254.5,0.0020170195,0.3605276,-0.0034691328,0.20447314,0.006942171,0.41895336,-16.0,7983.0,286.0,19495.0,280.5,12876.0,92.5,9163.0,0.35851058,0.20794228,0.41201118,7999.0,19209.0,12595.5,9070.5,0,1.5416437748417169,-65.72636065670994,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_791_0,-7.7786145E-4,0.3383357,-0.007370144,0.19357197,-0.0030665516,0.39127696,129.5,8213.5,161.5,18772.5,300.5,12683.5,96.0,9281.0,-0.0035350164,0.33557853,-0.0018492057,0.19909291,0.0011306885,0.3954742,-9.5,8074.5,28.0,18639.0,66.5,12449.5,87.5,9272.5,0.0070128166,0.34612635,0.00794078,0.2088829,0.006132362,0.40047586,-21.0,8063.0,224.0,18835.0,-57.0,12326.0,-36.0,9149.0,0.33911353,0.20094211,0.3943435,8084.0,18611.0,12383.0,9185.0,0,-11.475214186635387,-64.32983971601773,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_792_0,0.011794523,0.3577026,0.004426515,0.21283594,0.013429831,0.4082668,24.0,8135.0,665.5,19360.5,319.0,12565.5,73.5,9159.0,0.01735808,0.36326617,0.01902996,0.22743937,0.014907049,0.40974402,-121.0,7990.0,388.0,19083.0,-235.5,12011.0,-172.5,8913.0,-0.0010780802,0.34483,0.0048457813,0.2132552,0.00486541,0.3997024,58.0,8169.0,352.5,19047.5,105.0,12351.5,194.0,9279.5,0.3459081,0.20840941,0.39483696,8111.0,18695.0,12246.5,9085.5,0,4.029348291153908,-67.82626246486774,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_793_0,-0.0020579135,0.39203724,-0.003927092,0.24680068,-9.1596623E-4,0.44951522,11.5,8232.5,-19.5,21677.5,97.5,13095.5,37.5,9467.5,0.0045257057,0.39862087,0.002844468,0.25357223,0.009035418,0.4594666,-33.0,8188.0,411.0,22108.0,166.0,13164.0,76.0,9506.0,-0.0011070594,0.3929881,-0.0039341445,0.24679363,0.006279215,0.4567104,-145.0,8076.0,-43.0,21654.0,83.5,13081.5,6.0,9436.0,0.39409515,0.25072777,0.45043117,8221.0,21697.0,12998.0,9430.0,0,-7.298587104650083,-52.35727327232958,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_794_0,-0.0028463171,0.32858887,0.0034745391,0.20580655,-6.4686156E-4,0.378328,70.0,8336.0,127.5,18482.0,-4.0,12173.0,123.5,9340.0,-0.0029853492,0.32844985,0.0042428956,0.20657492,0.0029682973,0.38194314,7.0,8273.0,143.5,18498.0,-13.0,12164.0,134.5,9351.0,-0.012445214,0.31899,-0.015294233,0.18703778,-0.014708039,0.3642668,-38.5,8227.5,-698.5,17656.0,-85.0,12092.0,-100.5,9116.0,0.3314352,0.20233202,0.37897485,8266.0,18354.5,12177.0,9216.5,0,-7.777209488028964,-55.8590859128843,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_795_0,-5.375032E-4,0.37842137,-0.009300725,0.21669745,0.009644559,0.43020913,-297.0,8201.0,-249.0,20585.0,99.5,13252.5,-100.5,9282.5,-0.013152058,0.36580682,-0.009908258,0.21608992,-0.010499762,0.41006482,-169.0,8329.0,-926.0,19908.0,-320.0,12833.0,-139.0,9244.0,-0.0128955925,0.36606327,-0.009877209,0.21612097,-0.003187004,0.41737756,-200.0,8298.0,-647.0,20187.0,-141.0,13012.0,-15.0,9368.0,0.37895885,0.22599818,0.42056456,8498.0,20834.0,13153.0,9383.0,0,-4.257340710263443,-67.44789206719659,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_796_0,0.030847888,0.2877567,0.029652463,0.18390062,0.019851923,0.32352316,178.5,7964.5,1005.5,15582.5,60.5,10741.5,0.5,8618.5,0.08744614,0.34435496,0.06334902,0.21759719,0.101646334,0.40531757,266.0,8052.0,4451.0,19028.0,1546.0,12227.0,662.0,9280.0,0.05523384,0.31214267,0.047392204,0.20164037,0.049815785,0.353487,52.0,7838.0,1832.0,16409.0,221.0,10902.0,-16.0,8602.0,0.2569088,0.15424816,0.30367124,7786.0,14577.0,10681.0,8618.0,0,-3.970598471572491,-54.20304168660996,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_797_0,0.008390367,0.3561676,0.009038991,0.2208838,0.0074737095,0.39426562,-122.5,8102.0,49.0,18649.0,-196.0,11901.0,-147.5,8853.5,0.03217516,0.3799524,0.025708538,0.23755334,0.028142313,0.41493425,49.5,8274.0,1410.0,20010.0,231.0,12328.0,-10.0,8991.0,-0.0013434048,0.34643385,-4.78707E-4,0.2113661,-0.004674754,0.38211718,23.0,8247.5,-151.5,18448.5,-86.5,12010.5,-46.0,8955.0,0.34777725,0.2118448,0.3867919,8224.5,18600.0,12097.0,9001.0,0,0.7372024379126854,-66.79679314926676,"{""type"":""MultiPoint"",""coordinates"":[]}"
